INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,LOCALE,CCUGPROF,CCSIZSET,HBCU,PBI,MENONLY,WOMENONLY,RELAFFIL,DISTANCEONLY,UGDS,AGE_ENTRY,FEMALE,MARRIED,DEPENDENT,MD_FAMINC,percent_on_student_loan,id_number
Palm Beach State College,Lake Worth,FL,33461-4796,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,3,1,21.0,5.0,15.0,0.0,0.0,0.0,0.0,-2.0,0.0,25217.0,23.481553072,0.5771913606,0.0893352383,0.6713169174,19571.24711,11.68,811
Stephen F Austin State University,Nacogdoches,TX,75961,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,4,1,41.0,13.0,16.0,0.0,0.0,0.0,0.0,-2.0,0.0,10692.0,21.533333333,0.6378881988,0.0623188406,0.831884058,40032.33423,59.44,3784
Lincoln College of Technology-West Palm Beach,West Palm Beach,FL,33407,Accrediting Council for Independent Colleges and Schools,0,13,1,3,3,13.0,10.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,713.0,26.963651914,0.7363694676,0.1554415223,0.3706435749,16104.36335,58.27,801
Keystone College,La Plume,PA,18440-0200,Middle States Commission on Higher Education,1,1,3,4,2,21.0,11.0,10.0,0.0,0.0,0.0,0.0,-2.0,0.0,1431.0,21.689385475,0.5888268156,0.051396648,0.8044692737,41299.43336,83.04,3261
Institute of Technology Inc,Clovis,CA,93612,Accrediting Commission of Career Schools and Colleges,1,1,1,2,3,21.0,4.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1487.0,28.300037836,0.536133182,0.2323117669,0.3064699205,11977.1637,69.49,5153
Ohio Christian University,Circleville,OH,43113-9487,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,2,32.0,5.0,9.0,0.0,0.0,0.0,0.0,79.0,0.0,3306.0,34.187661499,0.6508397933,0.3162144703,0.1666666667,16099.2017,60.6,2861
Martin Methodist College,Pulaski,TN,38478-2799,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,3,2,32.0,11.0,10.0,0.0,0.0,0.0,0.0,71.0,0.0,1087.0,22.081346424,0.6157082749,0.0841514727,0.7741935484,30698.42648,61.54,3581
Community College of Denver,Denver,CO,80204-2026,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,11.0,1.0,4.0,0.0,0.0,0.0,0.0,-2.0,0.0,7725.0,26.976328578,0.5596488478,0.1277629723,0.4173067879,16777.44316,37.92,591
Ohio University-Eastern Campus,Saint Clairsville,OH,43950,North Central Association of Colleges and Schools The Higher Learning Commission,0,6,2,2,1,41.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,953.0,24.251240695,0.6390956714,0.1520540392,0.6649434795,54035.46124,37.21,2966
Brightwood College-Hammond,Hammond,IN,46324,Accrediting Council for Independent Colleges and Schools,1,2,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,299.0,26.932055749,0.9059779454,0.1572838073,0.3052814858,13676.32088,62.32,1240
Cosmopolitan Beauty and Tech School,Annandale,VA,22003-3204,National Accrediting Commission of Cosmetology Arts and Sciences,1,2,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,110.0,42.124423963,0.801843318,0.66359447,0.0599078341,17437.10266,12.44,6636
Duluth Business University,Duluth,MN,55807,Accrediting Council for Independent Colleges and Schools,1,1,2,3,3,13.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,179.0,28.790697674,0.8895348837,0.2093023256,0.2558139535,21493.9114,89.05,1893
Anderson University,Anderson,SC,29621-4035,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,4,2,13.0,12.0,11.0,0.0,0.0,0.0,0.0,54.0,0.0,2500.0,22.744749596,0.6647819063,0.105815832,0.7802907916,63185.88255,63.99,3445
Escuela Hotelera de San Juan,Hato Rey,PR,00917,Accrediting Commission of Career Schools and Colleges,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,938.0,24.626245847,0.4784053156,0.0897009967,0.6528239203,5985.941409,8.01,5595
Norco College,Norco,CA,92860,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,2,2,1,21.0,1.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,7867.0,24.528060387,0.5661306203,0.1296357073,0.5789300952,18761.58331,1.41,6556
Sullivan College of Technology and Design,Louisville,KY,40218,Accrediting Council for Independent Colleges and Schools,1,1,2,3,3,21.0,7.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,344.0,25.924092409,0.300330033,0.1683168317,0.498349835,27253.84676,63.71,1433
University of West Alabama,Livingston,AL,35470,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,4,1,43.0,13.0,13.0,0.0,1.0,0.0,0.0,-2.0,0.0,1916.0,22.359180036,0.5606060606,0.0534759358,0.7843137255,23965.51911,67.33,32
Southern Careers Institute-San Antonio,San Antonio,TX,78221,Council on Occupational Education,0,7,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,636.0,27.026057469,0.7520970908,0.2295199001,0.3248259861,13609.21937,69.09,5123
Eureka College,Eureka,IL,61530,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,3,2,31.0,13.0,8.0,0.0,0.0,0.0,0.0,61.0,0.0,652.0,21.026455026,0.4682539683,0.0343915344,0.8677248677,55170.03921,77.6,1033
Mercy College of Ohio,Toledo,OH,43604-1132,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,3,2,11.0,5.0,6.0,0.0,0.0,0.0,0.0,30.0,0.0,1193.0,27.595827901,0.8748370274,0.2112125163,0.4028683181,32155.0455,73.14,2926
Chemeketa Community College,Salem,OR,97305,Northwest Commission on Colleges and Universities,1,1,2,2,1,22.0,2.0,4.0,0.0,0.0,0.0,0.0,-2.0,0.0,9563.0,26.475667704,0.5616909717,0.1723742422,0.4643617893,20422.60386,38.07,3098
Bluffton University,Bluffton,OH,45817-2104,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,2,32.0,12.0,8.0,0.0,0.0,0.0,0.0,69.0,0.0,896.0,21.470809793,0.4482109228,0.054613936,0.8700564972,59401.52272,81.39,2835
University of Saint Joseph,West Hartford,CT,06117,New England Association of Schools and Colleges Commission on Institutions of Higher Education,1,1,3,4,2,13.0,13.0,10.0,0.0,0.0,0.0,1.0,30.0,0.0,930.0,23.353182752,0.9691991786,0.0841889117,0.6940451745,51616.54921,76.26,674
Daymar College-Madisonville,Madisonville,KY,42431,Accrediting Council for Independent Colleges and Schools,0,5,2,2,3,32.0,3.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,25.0,30.715258856,0.878746594,0.3188010899,0.1321525886,14052.08936,87.88,5882
Santa Ana Beauty College,Santa Ana,CA,92706-2321,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,420.0,35.195121951,0.9024390244,0.3495934959,0.2276422764,12615.08463,0.0,7012
Northwest Educational Center,Houston,TX,77092,Council on Occupational Education,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,224.0,26.187007874,0.9133858268,0.1791338583,0.1811023622,9717.964584,0.0,4524
Profile Institute of Barber-Styling,Atlanta,GA,30315,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,71.0,31.51,0.17,0.14,0.19,10860.02764,49.07,6333
University of South Carolina-Union,Union,SC,29379,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,2,1,32.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,294.0,25.301298701,0.5844155844,0.0987012987,0.6467532468,23911.59542,43.18,3490
Argosy University-Twin Cities,Eagan,MN,55121,Western Association of Schools and Colleges Senior Colleges and University Commission,0,28,2,4,3,13.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,1072.0,29.893958794,0.6097854344,0.1975711015,0.2849493656,15149.50454,78.08,1914
Carlos Albizu University-Miami,Miami,FL,33172-2209,Middle States Commission on Higher Education,0,2,3,4,2,21.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,262.0,28,0.8033573141,0.1798561151,0.345323741,19097.09088,77.55,723
Caribbean University-Carolina,Carolina,PR,00985,Middle States Commission on Higher Education,0,4,3,4,2,12.0,7.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,575.0,22.457078313,0.5640060241,0.0606174699,0.7104668675,0,25.14,4196
Oklahoma Wesleyan University,Bartlesville,OK,74006-6299,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,2,32.0,5.0,7.0,0.0,0.0,0.0,0.0,89.0,0.0,1153.0,29.518833536,0.6549210207,0.3693803159,0.4021871203,48863.32248,68.45,3033
Nunez Community College,Chalmette,LA,70043,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,2,1,21.0,1.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1682.0,26.775616083,0.626459144,0.1044098573,0.4053177691,15944.27868,27.33,1484
Tompkins Cortland Community College,Dryden,NY,13053-0139,Middle States Commission on Higher Education,1,1,2,2,1,31.0,2.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,2859.0,23.008371704,0.5295102553,0.0745081624,0.7141063206,25247.71888,30.93,2628
ASM Beauty World Academy,Davie,FL,33314,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,328.0,35.503597122,0.7841726619,0.3021582734,0.1366906475,13828.88286,61.7,4731
Empire Beauty School-Hanover Park,Hanover Park,IL,60133-5421,National Accrediting Commission of Cosmetology Arts and Sciences,0,15,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,76.0,26.303476355,0.9242092076,0.1331036643,0.3589101159,13687.67652,70.59,1003
Brunswick Community College,Bolivia,NC,28422-9021,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,2,1,42.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1449.0,25.486111111,0.6452020202,0.1641414141,0.5328282828,18967.09757,0.06,2673
Herzing University-Kenner,Kenner,LA,70062,North Central Association of Colleges and Schools The Higher Learning Commission,0,11,2,4,3,21.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,345.0,31.374630571,0.8216101194,0.2384442606,0.1399692635,16935.3898,91.48,5198
International Salon and Spa Academy,Colorado Springs,CO,80918-3684,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,263.0,27.177595628,0.8551912568,0.3333333333,0.2459016393,16182.82051,57.33,602
Brightwood College-Houston,Houston,TX,77073,Accrediting Council for Independent Colleges and Schools,1,2,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,334.0,27.594280608,0.9231456658,0.2287756926,0.2859696157,14839.7579,63.11,3811
Medical Institute of Palm Beach,Greenacres,FL,33463,Council on Occupational Education,1,1,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,66.0,27.709090909,0.9333333333,0.1393939394,0.3333333333,11255.80717,100.0,6223
University of Phoenix-Wisconsin,Milwaukee,WI,53224-3606,North Central Association of Colleges and Schools The Higher Learning Commission,0,38,3,4,3,11.0,10.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,284.0,31.763342552,0.697885046,0.2945153379,0.0874417943,16789.83113,72.26,5377
Studio Academy of Beauty,Chandler,AZ,85224,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,332.0,26.911003236,0.9644012945,0.1877022654,0.3236245955,17118.34899,62.18,6215
Westech College,Fontana,CA,92335,Accrediting Commission of Career Schools and Colleges,1,3,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,456.0,25.896511628,0.7941860465,0.1604651163,0.4209302326,10055.41995,59.35,4676
DeVry University-Wisconsin,Milwaukee,WI,53202,North Central Association of Colleges and Schools The Higher Learning Commission,0,25,3,4,3,11.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,136.0,30.393682856,0.5302737759,0.2859547502,0.1862468439,22237.68396,79.73,7127
Waldorf College,Forest City,IA,50436-1713,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,3,3,33.0,11.0,11.0,0.0,0.0,0.0,0.0,-2.0,0.0,1356.0,29.561933535,0.4531722054,0.3625377644,0.364551863,40577.834,88.7,1322
Fordham University,Bronx,NY,10458,Middle States Commission on Higher Education,1,1,3,4,2,11.0,14.0,17.0,0.0,0.0,0.0,0.0,30.0,0.0,8485.0,20.561801341,0.5764931332,0.0204407538,0.9045033536,89934.54027,52.74,2454
Carrington College-Spokane,Spokane,WA,99206-4187,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,2,1,2,3,13.0,4.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,511.0,28.116451017,0.865064695,0.247689464,0.2763401109,15522.12868,53.34,5312
Whitworth University-Adult Degree Programs,Spokane,WA,99251,Northwest Commission on Colleges and Universities,1,1,3,4,2,21.0,5.0,6.0,0.0,0.0,0.0,0.0,103.0,0.0,317.0,22.370500439,0.6180860404,0.0948200176,0.7954345917,62473.13818,74.52,6806
University of Maryland  Baltimore,Baltimore,MD,21201-1627,Middle States Commission on Higher Education,1,1,3,4,1,11.0,7.0,12.0,0.0,0.0,0.0,0.0,-2.0,0.0,786.0,28.281420765,0.8524590164,0.2786885246,0.306010929,37425.88469,46.65,1596
West Kentucky Community and Technical College,Paducah,KY,42002-7380,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,2,1,33.0,1.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,4503.0,25.909594735,0.6065119501,0.1901627988,0.462764115,16089.91072,24.13,1445
Lu Ross Academy,Ventura,CA,93001-2729,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,12.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,274.0,25.61299435,0.7372881356,0.1327683616,0.4519774011,18238.26865,60.71,393
Orangeburg Calhoun Technical College,Orangeburg,SC,29118-8299,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,2,1,41.0,2.0,2.0,0.0,1.0,0.0,0.0,-2.0,0.0,2343.0,24.840104167,0.6166666667,0.1,0.5744791667,17210.07199,29.91,3481
Jay's Technical Institute,Houston,TX,77071,Council on Occupational Education,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,128.0,29.482993197,0.4489795918,0.1088435374,0.1292517007,3261.133579,99.16,5511
Cosmetology Career Institute,Greenville,TX,75402,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,32.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,98.0,25.90960452,0.9152542373,0.2881355932,0.3672316384,13116.68318,45.3,5219
Florida School of Massage,Gainesville,FL,32608-5419,Commission on Massage Therapy Accreditation,1,1,1,1,3,41.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,81.0,30.093596059,0.684729064,0.2266009852,0.2463054187,15580.47172,73.6,752
Career Training Academy-Lower Burrell,Lower Burrell,PA,15068,Accrediting Commission of Career Schools and Colleges,1,3,1,2,3,21.0,4.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,171.0,28.729681979,0.9363957597,0.1890459364,0.3233215548,17671.20011,60.67,3175
Bryant & Stratton College-Amherst,Getzville,NY,14068,Middle States Commission on Higher Education,0,18,2,3,3,21.0,7.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,340.0,29.343011019,0.7850687136,0.1701126656,0.243902439,13683.44656,86.2,2386
Career Development Institute Inc,Los Angeles,CA,90035,Accrediting Bureau of Health Education Schools,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,63.0,29.981481481,0.9074074074,0.1481481481,0.212962963,15307.71462,96.04,6145
Sierra College of Beauty,Merced,CA,95340,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,13.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,173.0,26.751724138,0.8206896552,0.2413793103,0.324137931,7887.00872,0.0,516
Nazareth College,Rochester,NY,14618-3790,Middle States Commission on Higher Education,1,1,3,4,2,21.0,13.0,11.0,0.0,0.0,0.0,0.0,-2.0,0.0,2017.0,21.142724745,0.7284522706,0.0250231696,0.8730305839,70829.26116,77.43,2523
Champlain College,Burlington,VT,05401,New England Association of Schools and Colleges Commission on Institutions of Higher Education,1,1,3,4,2,13.0,9.0,10.0,0.0,0.0,0.0,0.0,-2.0,0.0,2918.0,23.172566372,0.435840708,0.098820059,0.7345132743,68630.91233,62.8,3867
Hawaii Pacific University,Honolulu,HI,96813,Western Association of Schools and Colleges Senior Colleges and University Commission,1,1,3,4,2,11.0,9.0,12.0,0.0,0.0,0.0,0.0,-2.0,0.0,4741.0,23.45952024,0.6604197901,0.2188905547,0.5824587706,36336.23654,45.25,955
Wayne Community College,Goldsboro,NC,27534-8002,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,2,1,13.0,2.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,2773.0,26.543115769,0.6207717961,0.2139113864,0.4249642687,18278.45241,4.17,2783
University of Phoenix-Hawaii,Honolulu,HI,96813-3800,North Central Association of Colleges and Schools The Higher Learning Commission,0,38,3,4,3,11.0,11.0,9.0,0.0,0.0,0.0,0.0,-2.0,0.0,1407.0,31.763342552,0.697885046,0.2945153379,0.0874417943,16789.83113,35.21,5033
Hamrick School,Medina,OH,44256,Accrediting Commission of Career Schools and Colleges,1,1,1,1,3,41.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,121.0,34.768253968,0.1238095238,0.219047619,0.0793650794,15370.28644,45.21,4530
Capella University,Minneapolis,MN,55402-3389,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,3,11.0,5.0,15.0,0.0,0.0,0.0,0.0,-2.0,1.0,8738.0,35.732386255,0.7285727997,0.3763317017,0.0264900662,26477.54911,84.65,4879
Inter American University of Puerto Rico-Fajardo,Fajardo,PR,00738-7003,Middle States Commission on Higher Education,0,11,3,4,2,23.0,10.0,9.0,0.0,0.0,0.0,0.0,-2.0,0.0,2076.0,21.627922008,0.5410383455,0.0601572598,0.7911460577,11031.25949,19.05,4225
University of Northern Colorado,Greeley,CO,80639,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,1,13.0,13.0,16.0,0.0,0.0,0.0,0.0,-2.0,0.0,9104.0,21.757831325,0.6489156627,0.0672289157,0.8122891566,51524.10941,56.72,612
Paroba College of Cosmetology,Everett,WA,98208,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,12.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,93.0,28.331491713,0.7569060773,0.226519337,0.182320442,10674.30238,57.95,4001
West Coast University-Ontario,Ontario,CA,91761,Western Association of Schools and Colleges Senior Colleges and University Commission,0,5,3,3,3,12.0,11.0,9.0,0.0,0.0,0.0,0.0,-2.0,0.0,1061.0,26.821493625,0.7689738919,0.1863995143,0.3752276867,30550.31383,34.13,6400
Creative Images Institute of Cosmetology-South Dayton,Dayton,OH,45459,National Accrediting Commission of Cosmetology Arts and Sciences,0,2,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,96.0,25.279792746,0.9715025907,0.1450777202,0.4222797927,16525.06735,54.8,5558
Pearl River Community College,Poplarville,MS,39470,Southern Association of Colleges and Schools Commission on Colleges,1,2,2,2,1,43.0,3.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,4529.0,22.623517452,0.5913249746,0.0928498814,0.7017960014,17155.2763,20.33,1998
Prairie State College,Chicago Heights,IL,60411-8226,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,1,2,1,21.0,1.0,3.0,0.0,1.0,0.0,0.0,-2.0,0.0,4188.0,25.259581882,0.6144018583,0.068524971,0.5693960511,17368.08429,20.79,1119
Ohio State University-Mansfield Campus,Mansfield,OH,44906,North Central Association of Colleges and Schools The Higher Learning Commission,0,6,2,3,1,41.0,12.0,9.0,0.0,0.0,0.0,0.0,-2.0,0.0,1092.0,21.051379188,0.51314076,0.0334438262,0.8646856872,63537.36798,65.89,2958
Bluefield College,Bluefield,VA,24605,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,3,2,32.0,11.0,8.0,0.0,0.0,0.0,0.0,54.0,0.0,897.0,27.360678925,0.5813295615,0.2489391796,0.513437058,37213.46732,69.89,3890
Marian University,Fond Du Lac,WI,54935-4699,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,2,13.0,11.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,1588.0,23.494023904,0.7516600266,0.0876494024,0.7410358566,51903.07756,72.81,4125
Bryan University,Springfield,MO,65804,Accrediting Council for Independent Colleges and Schools,1,3,2,4,3,12.0,11.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,318.0,30.480654762,0.6726190476,0.2723214286,0.1845238095,12384.13494,83.29,4521
