Name of School,"Elementary, Middle, or High School",Street Address,ZIP Code,Link ,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Community Area Number,Community Area Name,Ward,Police District,probation,Id
Louis A Agassiz Elementary School,ES,2851 N Seminary Ave ,60657,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609773.pdf,No,Average,53.0,NDA,NDA,Weak,23.0,Weak,21.0,NDA,NDA,NDA,NDA,Strong,56,Average,47,95.2%,32.6,96.8%,98.1%,68.5,39,44.1,49.5,44.9,49.5,43.6,50,43.6,43.6,30,53.3,27.5,27.5,0.2,-0.9,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,432,33,NDA,6,LAKE VIEW,44,19,0,609773
Logandale Middle School,MS,3212 W George St ,60618,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610325.pdf,No,Average,56.0,NDA,NDA,Weak,32.0,Weak,28.0,NDA,NDA,NDA,NDA,Average,50,Average,51,95.1%,5.1,95.6%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,39.1,31,56.9,55.1,20,22.6,11.6,7.8,-0.6,-0.3,Yellow,Yellow,34.8,37.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,941,29,NDA,21,AVONDALE,35,14,0,610325
Jonathan Burr Elementary School,ES,1621 W Wabansia Ave ,60622,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609828.pdf,No,Strong,71.0,Strong,66,Strong,68.0,Average,51.0,Average,53,Strong,63,Strong,56,Average,49,95.9%,4.3,96.9%,100.0%,78.5,53.1,53.8,43.8,51.9,51.9,71.3,57.7,69.2,58.4,14.3,25,29.1,22.2,0.4,0.6,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,348,35,NDA,24,WEST TOWN,1,14,0,609828
Theodore Herzl Elementary School,ES,3711 W Douglas Blvd ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609991.pdf,No,Average,41.0,NDA,NDA,Average,53.0,Strong,65.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,90.8%,23.9,97.0%,96.0%,62.6,35.6,13.5,16.3,63.3,50.4,22.1,22.1,65.7,67.6,0,10.5,4.6,3.8,0.1,0.0,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,512,36,NDA,29,NORTH LAWNDALE,24,10,1,609991
Edmond Burke Elementary School,ES,5356 S King Dr ,60615,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609819.pdf,No,Very Weak,1.0,NDA,NDA,Very Weak,13.0,Weak,22.0,NDA,NDA,NDA,NDA,Average,48,Average,48,89.3%,82.0,95.5%,96.7%,44.4,57.4,30.3,16.2,40.7,40.4,37.6,24.7,63.3,45.5,3.6,14.3,7.9,4.3,-1.4,-1.9,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,244,42,NDA,40,WASHINGTON PARK,3,2,1,609819
Henry R Clissold Elementary School,ES,2350 W 110th Pl ,60643,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609861.pdf,No,Average,45.0,Strong,61,Weak,39.0,Strong,61.0,Weak,38,Average,51,Average,52,Weak,46,95.1%,8.4,96.9%,94.8%,75.5,NDA,58.5,64,68.8,62.8,46.7,63,53.3,58.7,33.8,49.2,27.7,26.7,-0.7,0.5,Red,Yellow,42.2,44.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,588,49,NDA,75,MORGAN PARK,19,22,0,609861
Ellen Mitchell Elementary School,ES,2233 W Ohio St ,60612,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610073.pdf,No,Very Strong,99.0,Strong,64,Very Strong,95.0,Very Strong,95.0,Very Strong,81,Very Strong,90,Strong,56,Strong,54,95.5%,12.2,97.7%,100.0%,46.7,41.9,53.1,43.9,72.4,75.5,35.5,51.3,55.3,55.3,21.1,26.3,30.1,27.3,-0.5,-0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,344,35,NDA,24,WEST TOWN,26,13,0,610073
Benito Juarez Community Academy High School,HS,2150 S Laflin St ,60608,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609764.pdf,No,Average,46.0,Average,53,Average,44.0,Average,45.0,Average,49,Average,48,NDA,NDA,NDA,NDA,83.7%,17.2,95.8%,99.5%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13.2,13.7,14.6,14.5,1.3,15.8,1.2,14.8,56.2,48.8,1683,39,71.1,31,LOWER WEST SIDE,25,12,1,609764
Guglielmo Marconi Elementary Community Academy,ES,230 N Kolmar Ave ,60624,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610241.pdf,No,Weak,26.0,NDA,NDA,Strong,65.0,Strong,76.0,NDA,NDA,NDA,NDA,Average,52,Average,52,91.5%,58.8,96.5%,100.0%,64.7,65.3,28.8,23.4,51.7,70,37.7,31.5,64.6,65.7,0,21.1,4.0,7.3,-1.6,-1.3,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,245,36,NDA,26,WEST GARFIELD PARK,28,11,1,610241
John Fiske Elementary School,ES,6145 S Ingleside Ave ,60637,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609919.pdf,No,Very Weak,13.0,Weak,24,Weak,37.0,Average,55.0,Average,40,Weak,35,Average,47,Average,50,92.9%,37.1,91.7%,91.4%,87.1,NDA,15.7,14.6,58,54.2,30.1,30.1,69.7,61.8,32.1,28.6,4.0,4.0,-1.3,-1.5,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,254,46,NDA,42,WOODLAWN,20,3,1,609919
John M Harlan Community Academy High School,HS,9652 S Michigan Ave ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609710.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,81.2%,21.6,94.4%,95.7%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,16,40,17.8,15.6,-2.9,-0.8,Red,Yellow,100,40,13.2,12.9,14.1,13.7,0.5,14.7,0.6,5.9,47.9,55.7,1245,48,64.4,49,ROSELAND,6,5,1,609710
Ellen H Richards Career Academy High School,HS,5009 S Laflin St ,60609,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609682.pdf,No,Weak,30.0,Weak,23,Weak,32.0,Very Weak,19.0,Average,42,Weak,34,Weak,43,Average,47,90.6%,17.3,95.7%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,11.8,12,13.1,12.8,1,14,0.9,5.5,57.3,43.1,473,42,63.5,61,NEW CITY,16,9,1,609682
Richard Edwards Elementary School,ES,4815 S Karlov Ave ,60632,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609903.pdf,No,Average,48.0,Average,48,Weak,38.0,Average,41.0,Average,49,Average,49,Average,49,Average,47,95.3%,10.3,96.8%,96.1%,73.3,42.8,46.5,26.3,52.2,62.5,32.7,27.6,44.1,50.8,11,28.4,17.6,11.4,-0.7,-0.1,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1503,44,NDA,57,ARCHER HEIGHTS,14,8,0,609903
Franklin Elementary Fine Arts Center,ES,225 W Evergreen Ave ,60610,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609926.pdf,No,Very Strong,87.0,NDA,NDA,Strong,60.0,Average,55.0,NDA,NDA,NDA,NDA,Strong,58,Average,48,95.9%,5.6,95.3%,100.0%,72.7,42.6,74.1,66.9,50,53.1,70.2,71.3,56.4,54.8,33.3,63.6,55.1,50.2,0.8,1.4,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,363,33,NDA,8,NEAR NORTH SIDE,43,18,0,609926
Josiah Pickard Elementary School,ES,2301 W 21st Pl ,60608,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610129.pdf,No,Average,50.0,Weak,36,Weak,35.0,Weak,37.0,Weak,32,Weak,34,Average,48,Strong,54,95.8%,5.1,96.4%,100.0%,76.4,NDA,48.9,25.6,55,78.6,42.5,30.2,70,69.8,6.6,8.2,16.1,11.0,1.7,0.0,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,656,39,NDA,31,LOWER WEST SIDE,25,12,1,610129
Charles R Henderson Elementary School,ES,5650 S Wolcott Ave ,60636,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609986.pdf,No,Very Weak,16.0,NDA,NDA,Weak,32.0,Weak,38.0,NDA,NDA,NDA,NDA,Weak,46,Weak,44,89.2%,80.6,93.6%,100.0%,38.8,23.1,21.6,18,52.8,55.9,18.8,14.4,60.6,45.3,4.4,17.8,4.8,2.6,-0.1,-0.6,Yellow,Yellow,8.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,407,43,NDA,67,WEST ENGLEWOOD,15,7,1,609986
DeWitt Clinton Elementary School,ES,6110 N Fairfield Ave ,60659,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609859.pdf,No,Average,47.0,Average,41,Average,47.0,Average,52.0,Average,41,Weak,36,NDA,NDA,NDA,NDA,95.3%,14.8,95.4%,100.0%,68.8,44.9,45.8,40.1,55.6,63.7,64.7,39.7,70.6,54.2,24.3,25.2,33.5,21.8,0.6,-0.5,Green,Yellow,23.6,46.7,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1139,32,NDA,2,WEST RIDGE,50,24,0,609859
Henry D Lloyd Elementary School,ES,2103 N Lamon Ave ,60639,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610040.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Average,48,Average,51,96.2%,0.0,97.2%,97.0%,NDA,32.9,34.1,18.3,46.5,53.3,NDA,NDA,NDA,NDA,NDA,NDA,23.5,10.5,-0.8,-0.3,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1334,29,NDA,19,BELMONT CRAGIN,31,25,1,610040
Alexander von Humboldt Elementary School,ES,2620 W Hirsch St ,60622,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610210.pdf,No,Weak,31.0,NDA,NDA,Weak,32.0,Average,45.0,NDA,NDA,NDA,NDA,Weak,43,Weak,44,92.5%,185.5,96.0%,100.0%,NDA,32.6,23.6,24,56.3,54,31.8,19.7,60.7,39.7,9.1,20.5,8.6,5.7,-0.4,-1.2,Yellow,Red,14.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,398,34,NDA,24,WEST TOWN,26,14,1,610210
James N Thorp Elementary School,ES,8914 S Buffalo Ave ,60617,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610200.pdf,No,Weak,32.0,NDA,NDA,Weak,39.0,Weak,39.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,91.8%,45.4,95.9%,100.0%,51,24.3,9.1,10.4,33.6,31,27.3,30.5,52.9,43.8,3.6,20,8.7,3.6,-0.4,-1.2,Yellow,Red,14,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,449,47,NDA,46,SOUTH CHICAGO,10,4,1,610200
Alice L Barnard Computer Math & Science Center Elementary School,ES,10354 S Charles St ,60643,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609788.pdf,No,Average,46.0,NDA,NDA,Weak,39.0,Average,58.0,NDA,NDA,NDA,NDA,Strong,69,Average,51,95.6%,28.5,95.0%,100.0%,62.1,38.5,43,38.8,47.4,61.8,45.6,40.4,49.4,61.4,18.5,29.6,18.0,15.7,1.9,1.9,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,274,49,NDA,72,BEVERLY,19,22,0,609788
Luther Burbank Elementary School,ES,2035 N Mobile Ave ,60639,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609818.pdf,No,Weak,37.0,NDA,NDA,Average,42.0,Weak,34.0,NDA,NDA,NDA,NDA,Average,47,Average,49,95.2%,9.8,95.5%,100.0%,60.8,45.2,42.8,34.9,61.2,63.8,41,34.4,55,54.5,13.1,17.2,20.6,11.3,-0.2,0.2,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1139,29,NDA,19,BELMONT CRAGIN,29,25,0,609818
Mark Sheridan Elementary Math & Science Academy,ES,533 W 27th St ,60616,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610081.pdf,No,Strong,74.0,Average,59,Average,53.0,Strong,63.0,Average,59,Strong,63,Strong,55,Average,51,96.8%,1.3,97.0%,95.9%,85.5,NDA,62.7,74,72.3,77.4,59.4,62.4,67.8,61.3,35.9,42.2,47.2,38.3,1.5,1.5,Green,Green,50,65.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,535,40,NDA,60,BRIDGEPORT,11,9,0,610081
Skinner North,ES,640 W Scott St ,60610,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610534.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Strong,64,Average,52,96.4%,0.0,97.8%,100.0%,83.3,83,100,100,74.1,76,NDA,NDA,NDA,NDA,NDA,NDA,100.0,100.0,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,242,33,NDA,8,NEAR NORTH SIDE,27,18,0,610534
William H Ryder Math & Science Specialty Elementary School,ES,8716 S Wallace St ,60620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610153.pdf,No,Weak,34.0,NDA,NDA,Average,42.0,Average,50.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,93.0%,22.5,94.3%,96.4%,73.6,56.9,21.6,6.8,32.7,37.5,37.7,17.7,44.6,37,20.5,33.3,10.6,5.6,-0.5,-1.6,Yellow,Red,27.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,302,49,NDA,71,AUBURN GRESHAM,21,22,1,610153
